1001,"Smart TV 50""",Electronica,Televisores,0,350000.00
1002,"Smart TV 32""",Electronica,Televisores,0,189999.00
1003,"TV LED 24""",Electronica,Televisores,0,124999.50
1004,"Notebook HP 15""",Computacion,Laptops,4,429999.91
1005,"Notebook Lenovo 14""",Computacion,Laptops,11,399999.00
1006,"Tablet Samsung 10""",Computacion,Tablets,18,219999.98
1007,"Tablecita Lenovo 8""",Computacion,Tablets,14,139999.00
1008,Mouse Logitech M185,Perifericos,Mouse,25,8499.50
1009,Mouse Gamer Redragon,Perifericos,Mouse,10,15999.00
1010,Teclado Logitech K120,Perifericos,Teclados,18,10499.90
1011,Teclado Mecanico HyperX,Perifericos,Teclados,6,28999.00
1012,"Monitor Samsung 24""",Electronica,Monitores,7,184999.00
1013,"Monitor LG 27""",Electronica,Monitores,6,229999.00
1014,Parlante Bluetooth JBL Go 3,Audio,Parlantes,30,19999.00
1015,Parlante JBL Charge 5,Audio,Parlantes,12,62999.00
1016,Auriculares Inalambricos Xiaomi,Audio,Auriculares,25,17999.99
1017,Auriculares Sony WH-CH510,Audio,Auriculares,10,32999.00
1018,Camara Web Logitech C270,Perifericos,Camaras,9,18999.00
1019,Camara Web Genius 720p,Perifericos,Camaras,6,9499.50
1020,Disco Duro Externo 1TB,Almacenamiento,Discos,15,33999.00
1021,SSD Kingston 480GB,Almacenamiento,SSD,10,27999.00
1022,Pen Drive 32GB,Almacenamiento,USB,40,3999.99
1023,Pen Drive 64GB,Almacenamiento,USB,32,5999.99
1024,Heladera No Frost 300L,Eletrodomesticos,Heladeras,5,589999.00
1025,Heladera c/freezer 250L,Eletrodomesticos,Heladeras,4,519999.00
1026,Lavarropas Automatico 7kg,Eletrodomesticos,Lavarropas,3,429999.00
1027,Lavarropas Carga Superior,Eletrodomesticos,Lavarropas,2,399999.00
1028,Microondas 20L,Eletrodomesticos,Microondas,10,94999.00
1029,Microondas Digital 25L,Eletrodomesticos,Microondas,8,117999.00
1030,Licuadora Philips 1.5L,Eletrodomesticos,Licuadoras,12,34999.00
1031,Procesadora Moulinex,Eletrodomesticos,Licuadoras,6,41999.00
1032,Aire Acondicionado 3000F,Eletrodomesticos,Aire Acondicionado,5,629999.00
1033,Aire Split Inverter 4500F,Eletrodomesticos,Aire Acondicionado,3,729999.00
1034,Estufa Electrica Liliana,Climatizacion,Estufas,13,34999.00
1035,Caloventor Atma 2000W,Climatizacion,Estufas,10,27999.00
1036,Smartphone Samsung A24,Telefonia,Smartphones,20,249999.00
1037,Smartphone Motorola G72,Telefonia,Smartphones,18,229999.00
1038,Cargador Universal USB,Telefonia,Accesorios,30,5999.00
1039,Funda de Silicona iPhone,Telefonia,Accesorios,25,3499.99
1040,Impresora HP 2775,Perifericos,Impresoras,6,104999.00
1041,Impresora Epson L3250,Perifericos,Impresoras,4,199999.00
1042,Reproductor Chromecast 3,Electronica,Streaming,10,16999.00
1043,Android TV Box 4K,Electronica,Streaming,6,22999.00
1044,Consola Xbox Series S,Gaming,Consolas,5,459999.00
1045,Consola PS5 Digital,Gaming,Consolas,2,599999.00
1046,Joystick PS5 DualSense,Gaming,Accesorios,10,59999.00
1047,Joystick Xbox Wireless,Gaming,Accesorios,9,54999.00
1048,Silla Gamer Redragon,Gaming,Sillas,3,154999.00
1049,Silla Ergonomica Noblex,Gaming,Sillas,2,189999.00
1050,Router TP-Link AC1200,Redes,WiFi,12,20999.00
1051,Xiaomi Redmi Note 14 Pro,Electronica,Celulares,7,214999.00
1052,Mouse Logitech G305,Electronica,Perifericos,0,56000.00
